classe,path,ext,kb,mtime,sha,legib,det
C · Comercial,AuroraControler/docs/Documentos Gerais/EXRS_Apresentacao_Socios.pptx,pptx,208.1,2026-07-13,f6bb6d69a71a,OK,11 slides · 5908 chars
C · Comercial,AuroraControler/docs/Documentos Gerais/EXRS_Doc_Apoio_Socios.docx,docx,14.5,2026-07-13,5ea9dfdc74ef,OK,47 par · 1 tab · 6853 chars
C · Comercial,ElysianConsult/docs/Atuais/Oticas_A_Vantagem_Injusta.docx,docx,107.8,2026-07-07,a47af1f061cb,OK,40 par · 2 tab · 5701 chars
C · Comercial,ElysianConsult/docs/Atuais/Oticas_Apresentacao_Consultoria.pptx,pptx,36.9,2026-07-09,661f1f217978,OK,9 slides · 2944 chars
C · Comercial,ElysianConsult/docs/Atuais/Oticas_Apresentacao_Texto.docx,docx,12.0,2026-07-09,706bc6ec40aa,OK,26 par · 0 tab · 5092 chars
C · Comercial,ElysianConsult/docs/Atuais/Oticas_Metodo_Linguagem_Simples.docx,docx,13.3,2026-07-09,b12be78dd545,OK,36 par · 0 tab · 7528 chars
D · Doutrina/Método,AuroraControler/docs/Documentos Gerais/Oticas_Motor_Dois_Relogios.docx,docx,103.3,2026-07-07,46180fe3d53b,OK,33 par · 2 tab · 4238 chars
D · Doutrina/Método,AuroraControler/docs/Documentos Gerais/PBM_Config_Motor_por_Frente.docx,docx,16.4,2026-07-07,ac5a00ac29f2,OK,52 par · 1 tab · 8872 chars
D · Doutrina/Método,AuroraControler/docs/Vault/sandeep-validation-fixture.md,md,4.1,2026-08-02,cb9d55f04ac7,OK,4056 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Analise_Estrategica_Framework_Elysian.docx,docx,33.1,2026-07-06,a727f6a823cf,OK,68 par · 4 tab · 11950 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Elysian_Consult_Sequencia_Lancamento.md,md,7.4,2026-08-11,d81484c34d4a,OK,7273 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Modelos_Comerciais_2026.docx,docx,16.1,2026-07-07,0ad3f033d73e,OK,44 par · 2 tab · 6455 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/O_Motor_Pos_IA_Livro.md,md,16.7,2026-08-12,b93664de6a9c,OK,16565 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Adocao_e_Cultura.docx,docx,15.0,2026-07-07,b4ddadc907e9,OK,59 par · 1 tab · 7269 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Camada_Financeira_C2.docx,docx,13.0,2026-07-08,485f1d43ee63,OK,36 par · 0 tab · 4410 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Concentradora_Compras.docx,docx,13.8,2026-07-08,a7265ace5ed8,OK,34 par · 3 tab · 3411 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Playbook_Operacional_Detalhado.docx,docx,16.6,2026-07-07,accbad7d46a5,OK,79 par · 2 tab · 7679 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Playbook_v6_Master.docx,docx,107.9,2026-07-07,808e1a03e82b,OK,74 par · 4 tab · 9418 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Oticas_Playbook_v9_Master.docx,docx,113.2,2026-07-08,e04571fa915b,OK,142 par · 8 tab · 14795 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/PBM_Config_Motor_por_Frente.docx,docx,16.4,2026-07-07,ac5a00ac29f2,OK,52 par · 1 tab · 8872 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/PBM_Config_Motor_por_Frente.md,md,9.8,2026-08-11,caa8a076c139,OK,9274 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/PBM_Modulo_0_Fundacao.docx,docx,192.6,2026-07-06,cdc9c22e1645,OK,73 par · 5 tab · 9277 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/PBM_Modulo_2-1_Portao_Dupla_Trilha.docx,docx,16.7,2026-07-06,42af40f4e497,OK,58 par · 5 tab · 6614 chars
D · Doutrina/Método,ElysianConsult/docs/Atuais/Roteiro_Construcao_Playbook_Master.docx,docx,18.8,2026-07-06,a9ba5e69241a,OK,64 par · 4 tab · 6999 chars
D · Doutrina/Método,ElysianConsult/docs/Historico/Playbook_Entrega_Elysian_v1.docx,docx,41.0,2026-07-06,f85d4cdf9b16,OK,170 par · 9 tab · 16038 chars
D · Doutrina/Método,ElysianConsult/docs/SSOT/Elysian_SSOT.md,md,8.9,2026-08-11,69ebf3282302,OK,8821 chars
E · Evidência,AuroraControler/docs/Vault/Gabarito_Conferencia_v3.md,md,2.7,2026-07-14,0da44bd215e5,OK,2673 chars
E · Evidência,AuroraControler/docs/Vault/Gabarito_PetShop_OCULTO.md,md,4.0,2026-07-16,7e19bb0869de,OK,3880 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a151_output.txt,txt,0.1,2026-05-04,c7d1be40243e,OK,93 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a152_output.txt,txt,0.1,2026-05-04,bb151ff9c2a4,OK,118 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a153_output.txt,txt,0.1,2026-05-04,01839706ff6d,OK,128 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a154_output.txt,txt,0.1,2026-05-04,f0904a22c445,OK,140 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a155_output.txt,txt,0.1,2026-05-04,2955ef41835b,OK,108 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A1.5/gate_a156_output.txt,txt,0.4,2026-05-04,8ad819947cbb,OK,445 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A2.5/test_results.log,log,0.1,2026-05-04,c29a5ea231d6,OK,101 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/A2/test_results.log,log,0.1,2026-05-04,093c73cf7761,OK,102 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.0-evidence.md,md,0.7,2026-05-04,16e78b0bcb38,OK,674 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.1-evidence.md,md,0.7,2026-05-04,06a9b3de795b,OK,680 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.2-evidence.md,md,0.7,2026-05-04,c43ab78b27ed,OK,685 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.3-evidence.md,md,0.7,2026-05-04,ba97463a54b3,OK,651 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.4-evidence.md,md,0.7,2026-05-04,8c4d27eaad7a,OK,690 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.5-evidence.md,md,0.6,2026-05-04,a0ed56a8ae61,OK,579 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/OS-EXRS-A1.6-evidence.md,md,0.5,2026-05-04,2fd5a7b746e9,OK,537 chars
E · Evidência,AuroraControler/docs/Vault/OS-Evidence/REORGANIZACAO-DOCS-EVIDENCE-20260802.md,md,2.7,2026-08-02,edef80814563,OK,2703 chars
F · Fórmulas,ElysianConsult/docs/Atuais/Oticas_Mapa_Aplicacao_Formulas.docx,docx,13.4,2026-07-08,116ebaf7eccd,OK,15 par · 3 tab · 1066 chars
F · Fórmulas,ElysianConsult/docs/Atuais/Oticas_ParteF_Blindagem_SEV.docx,docx,12.7,2026-07-08,04be2e5a9164,OK,36 par · 0 tab · 3913 chars
F · Fórmulas,ElysianConsult/docs/Atuais/Oticas_ParteF_Score_Formula.docx,docx,16.9,2026-07-08,14341d6690b4,OK,68 par · 4 tab · 6988 chars
F · Fórmulas,ElysianConsult/docs/Atuais/Oticas_ParteF_TMI.docx,docx,13.0,2026-07-08,5fe0e623592c,OK,37 par · 0 tab · 4740 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/capacidade-e-limites.md,md,1.1,2026-08-02,66281453cefa,OK,1100 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/filtro-de-decisao.md,md,1.0,2026-08-02,1adeeeaece4b,OK,1009 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/posicionamento-atual.md,md,1.0,2026-08-02,909267bc7e94,OK,1034 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/tool-filtro-DART.md,md,2.1,2026-08-02,a00fa9215f24,OK,2115 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/tool-filtro-EDGE.md,md,1.8,2026-08-02,d1257b7ed676,OK,1779 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/tool-protocolo-3C.md,md,1.8,2026-08-02,4aaa70779606,OK,1753 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/tool-scanner-ASC.md,md,1.8,2026-08-02,f216a1b41f62,OK,1841 chars
I · Infra/Agente,AuroraControler/docs/Vault/Doutrina-Sandeep/vantagem-assimetrica.md,md,1.0,2026-08-02,4ddf5e3dd6d5,OK,973 chars
I · Infra/Agente,AuroraControler/docs/Vault/EXRS_Prompt_Executive_Summary.md,md,4.2,2026-07-17,d861e501aad8,OK,4196 chars
I · Infra/Agente,AuroraControler/docs/Vault/EXRS_Prompt_Teste_v2.md,md,6.8,2026-07-13,6f2f279a9c33,OK,6682 chars
I · Infra/Agente,AuroraControler/docs/Vault/EXRS_Prompts_v3.md,md,3.3,2026-07-14,8d3d942356e5,OK,3283 chars
I · Infra/Agente,AuroraControler/docs/Vault/Prompt_Deep_Research_Modelos_Comerciais.md,md,3.5,2026-07-07,24ac99a056af,OK,3507 chars
I · Infra/Agente,AuroraControler/docs/Vault/Prompt_Teste_Cego_PetShop.md,md,3.7,2026-07-16,05bbb1d65d08,OK,3708 chars
I · Infra/Agente,AuroraControler/docs/Vault/schema-qdrant-corpus.md,md,4.4,2026-08-02,ded7adc012a5,OK,4401 chars
I · Infra/Agente,AuroraControler/docs/Vault/system-prompt-agente-sandeep-final.md,md,7.7,2026-08-02,a4f05a32823c,OK,7684 chars
I · Infra/Agente,AuroraControler/docs/Vault/system-prompt-agente-sandeep-v1.md,md,9.2,2026-08-02,b028b2563a94,OK,9143 chars
